,zipcode,city,latitude,longitude,dist
13649,36211,Alheim,51.0333,9.66667,2697.8422177789
13650,59909,Bestwig,51.362278859765304,8.40111579895017,2708.662436335664
13651,3185,Drachhausen,51.89127,14.3152299999999,2897.6297121657967
13652,97267,Himmelstadt,49.9239,9.80167,2588.4685259989005
13653,48465,Schüttorf,52.324870000000004,7.2276500000000405,2790.130945039401
13654,56242,Selters (Westerwald),50.5333,7.7666699999999995,2613.9355717788994
13655,17153,Briggow,53.62064,12.98612,3043.812346664
13656,6577,Hemleben,51.2557480490629,11.2236522857665,2753.122078700807
13657,21039,Escheburg,53.46655,10.309239999999999,2964.9523982800997
13658,14778,Planebruch Oberjünne,52.27905,12.63875,2892.8370704649997
13659,19395,Ganzlin,53.38215,12.24793,2999.6657279074
13660,38489,Mellin,52.64958000000001,10.98798,2892.7139786568005
13661,6869,Coswig (Anhalt) Zieko,51.91422,12.4156800000001,2849.2353480708025
13662,79848,Bonndorf im Schwarzwald,47.8167,8.35,2356.1592988899997
13663,23972,Dorf Mecklenburg,53.84244,11.463980000000001,3030.4311825940003
13664,38553,Wasbüttel,52.41263,10.59272,2859.2895005153
13665,57392,Schmallenberg,51.15,8.3,2685.2124999999996
13666,25579,Fitzbek,54.002623,9.769674,3011.7298209464047
13667,24259,Westensee,54.277962850213896,9.899830123782221,3044.1038876489456
13668,66996,Schindhard,49.1333,7.816669999999999,2475.1814987789
13669,77731,Willstätt,48.5333,7.88333,2417.6281007789
13670,82278,Althegnenberg,48.2333,11.0667,2448.92307778
13671,55481,Nieder Kostenz,49.95,7.36667,2549.2703268889004
13672,86738,Deiningen,48.8667,10.5667,2499.6095177800003
13673,16230,Chorin Sandkrug bei Eberswalde,52.88398000000001,13.87305,2989.176856942901
13674,15913,Märkische Heide,52.03298,14.05285,2904.9136008029004
13675,84359,Simbach am Inn,48.2667,13.0167,2499.10880778
13676,58739,Wickede an der Ruhr,51.49669,7.86595,2713.7822503586003
13677,6408,Wohlsdorf bei Bernburg,51.76462,11.86576,2820.372144122
13678,55566,"Daubach, Hunsrück",49.85,7.63333,2543.2902268889
13679,32312,"Lübbecke, Westfalen",52.3097,8.62224,2810.6477367076
13680,31180,Giesen bei Hildesheim,52.19623,9.89615000000003,2822.3802110354004
13681,39343,Bebertal,52.24005,11.335289999999999,2857.5116233865992
13682,56332,"Oberfell, Mosel",50.2667,7.45,2582.24362889
13683,83329,Waging am See,47.9333,12.7333,2459.73817778
13684,19258,Besitz Blücher bei Boizenburg,53.35516,10.83048,2964.0723956559996
13685,2943,Weißwasser / Oberlausitz,51.50428,14.63517,2866.8790592473
13686,55437,"Appenheim, Rheinhessen",49.93,8.03333,2557.5392908889
13687,6679,Hohenmölsen,51.15,12.0833,2762.3286388899996
13688,97534,Waigolshausen,49.95,10.1333,2597.6862688900005
13689,37345,Neustadt bei Leinefelde,51.46802,10.46551,2758.4839822805
13690,95197,Schauenstein,50.2667,11.75,2664.80362889
13691,91469,Hagenbüchach,49.5333,10.7667,2569.4696377799996
13692,23858,"Barnitz, Trave",53.805640000000004,10.499939999999999,3005.2956358132
13693,1848,Hohnstein,50.97958,14.114170000000101,2798.1273717653025
13694,17459,Loddin,54.02712,14.014439999999999,3115.3342240079996
13695,48465,Ohne,52.27281,7.275280000000071,2785.376364374501
13696,18461,Franzburg,54.1870032653011,12.880906957702699,3102.149086926746
13697,76185,Karlsruhe (Baden) Grünwinkel,49.0047,8.38583,2471.7827668789
13698,76189,Karlsruhe (Baden) Grünwinkel,49.0047,8.38583,2471.7827668789
13699,94542,"Haarbach, Niederbayern",48.5,13.15,2525.1725
13700,79780,Stühlingen,47.7333,8.43333,2349.5889837789
13701,18249,Warnow bei Bützow Diedrichshof,53.76603000000001,11.91306,3032.7069805245005
13702,24888,Loit,54.6113867309,9.69996023035,3076.492789142292
13703,7407,Rudolstadt,50.7167,11.3333,2700.6273477800005
13704,2788,Hirschfelde bei Zittau,50.94246,14.88582,2816.7218679239995
13705,17209,Fincken Kaeselin,53.3622,12.43166,3002.0705591956003
13706,84339,Unterdietfurt,48.3833,12.6667,2501.3890077799997
13707,18249,Warnow bei Bützow,53.78552,11.8804700000001,3034.0277290913023
13708,29591,Römstedt,53.0961,10.64962,2932.6102413544
13709,63814,Mainaschaff,49.9817,9.09,2580.7984348899995
13710,86674,Baar (Schwaben),48.5833,10.9667,2480.60554778
13711,86672,Baar (Schwaben),48.5833,10.9667,2480.60554778
13712,65817,"Eppstein, Taunus",50.1333,8.4,2583.9077688899997
13713,66459,Kirkel,49.2833,7.2333300000000005,2481.1647217789
13714,67808,Ransweiler,49.6667,7.7666699999999995,2527.1022517788997
13715,4916,"Schönewalde bei Herzberg, Elster Dubro",51.7613301,13.26495,2855.1941922236665
13716,17440,"Lassan, Vorpommern",53.94896,13.851560000000001,3102.3559995152
13717,88097,Eriskirch,47.6333,9.53333,2359.8156497789
13718,19273,Vellahn Jesow,53.38203000000001,11.016160000000001,2970.9969080665005
13719,77978,Schuttertal,48.2333,7.95,2389.65372889
13720,36452,Neidhartshausen,50.6833,10.1333,2671.48066778
13721,94032,Passau,48.5712,13.449000000000002,2540.0370704399998
13722,94034,Passau,48.5712,13.449000000000002,2540.0370704399998
13723,94036,Passau,48.5712,13.449000000000002,2540.0370704399998
13724,39517,Grieben bei Tangerhütte,52.437830000000005,11.9599900000001,2892.7673759090026
13725,78098,Triberg im Schwarzwald,48.1333,8.23333,2384.6022917789
13726,8541,Neuensalz,50.5,12.2167,2699.49775889
13727,25946,"Nebel, Amrum",54.6504285943,8.35379624422,3056.4552572306275
13728,92507,Nabburg,49.4536,12.1786,2593.9768509200003
13729,21279,Wenzendorf,53.350719999999995,9.77087000000006,2941.7692250753007
13730,17291,Prenzlau Schönwerder,53.369859999999996,13.84663,3040.0711187764996
13731,6279,Esperstedt bei Querfurt,51.42375,11.6748,2780.7030191025
13732,18569,Ummanz Wusse,54.452659,13.156765,3138.1925374355055
13733,56459,Härtlingen,50.5333,7.9,2616.0244088899994
13734,37643,Negenborn bei Holzminden,51.89154,9.5719,2784.3531931816
13735,14715,Seeblick,52.6668910341298,12.3832931640625,2927.147360788019
